"station_id","station_name","latitude","longitude","Date","E Coli Concentration ","Enterococcus Bacteria Concentration ","Air Temperature ","Water Temperature ","Turbidity "
"J20","James River at Tredegar Beach",37.534353,-77.445372,2013-07-04 00:00:00,25,NA,26,26,21
"A01","Appomattox River at City Point",37.316523,-77.273569,2013-07-04 00:00:00,17,NA,27.1,26.3,12.69
"A02","Appomattox River at Hopewell",37.311187,-77.297991,2013-07-04 00:00:00,3,NA,28,26.5,10.29
"J15",NA,37.530947,-77.431925,2013-07-11 00:00:00,0,NA,26.8,26.8,12.15
"J25","James River at Maidens",37.6661,-77.888811,2013-07-11 00:00:00,0,NA,26.5,25,7.92
"J20","James River at Tredegar Beach",37.534353,-77.445372,2013-07-11 00:00:00,NA,NA,27.6,26.5,12.12
"J10","James River at 14th Street",37.530947,-77.431925,2013-07-11 00:00:00,0,NA,25.6,26.6,14.8
"J30","James River at Scottsville",37.797533,-78.49055,2013-07-11 00:00:00,24,NA,29,25,11.4
"J35","James River at Lynchburg",37.41605,-79.13675,2013-07-11 00:00:00,1,NA,27,24,5.8
"J05","James River at Jamestown Beach",37.2239,-76.788613,2013-07-11 00:00:00,0,NA,26,28,15
"J40","James River at Buchanan",37.529933,-79.679078,2013-07-11 00:00:00,28,NA,27,22,28.5
"A01","Appomattox River at City Point",37.316523,-77.273569,2013-07-11 00:00:00,3,NA,27,28,15.3
"A02","Appomattox River at Hopewell",37.311187,-77.297991,2013-07-11 00:00:00,0,NA,27.5,27,10.03
"J10","James River at 14th Street",37.530947,-77.431925,2013-07-18 00:00:00,5,NA,27,28,12.8
"J05","James River at Jamestown Beach",37.2239,-76.788613,2013-07-18 00:00:00,0,NA,28,30,8.84
"J30","James River at Scottsville",37.797533,-78.49055,2013-07-18 00:00:00,10,NA,32,26,5.9
"A01","Appomattox River at City Point",37.316523,-77.273569,2013-07-18 00:00:00,7,NA,32.8,29,15.9
"J15",NA,37.530947,-77.431925,2013-07-18 00:00:00,1,NA,28,28.5,8.8
"J40","James River at Buchanan",37.529933,-79.679078,2013-07-18 00:00:00,7,NA,35,24,0.51
"A02","Appomattox River at Hopewell",37.311187,-77.297991,2013-07-18 00:00:00,0,NA,37,28,17.5
"J35","James River at Lynchburg",37.41605,-79.13675,2013-07-18 00:00:00,1,NA,34.5,26,5.3
"J20","James River at Tredegar Beach",37.534353,-77.445372,2013-07-18 00:00:00,2,NA,28.5,28.5,11.9
"J25","James River at Maidens",37.6661,-77.888811,2013-07-25 00:00:00,1,NA,26,23.5,8.17
"J35","James River at Lynchburg",37.41605,-79.13675,2013-07-25 00:00:00,4,NA,24,25,15.9
"J40","James River at Buchanan",37.529933,-79.679078,2013-07-25 00:00:00,8,NA,29,24,1.26
"A02","Appomattox River at Hopewell",37.311187,-77.297991,2013-07-25 00:00:00,60,NA,22,24,12.1
"J15",NA,37.530947,-77.431925,2013-07-25 00:00:00,2,NA,22,26.3,8.59
"J20","James River at Tredegar Beach",37.534353,-77.445372,2013-07-25 00:00:00,2,NA,22.5,27,8.79
"A01","Appomattox River at City Point",37.316523,-77.273569,2013-07-25 00:00:00,2,NA,24.2,28.5,37.7
"J10","James River at 14th Street",37.530947,-77.431925,2013-07-25 00:00:00,5,NA,21.3,27,9.01
"J05","James River at Jamestown Beach",37.2239,-76.788613,2013-07-25 00:00:00,5,NA,22.5,27.5,8.88
"J30","James River at Scottsville",37.797533,-78.49055,2013-07-26 00:00:00,1,NA,21,25.5,4.37
"J25","James River at Maidens",37.6661,-77.888811,2013-08-01 00:00:00,9,NA,25,25,10.14
"A01","Appomattox River at City Point",37.316523,-77.273569,2013-08-01 00:00:00,1,NA,28.5,27,9.33
