station_id,Parameter,Text
All,E Coli Concentration,Threshold is from EPA guidance on Recreational Water Use
All,Enterococcus Bacteria Concentration,Threshold is from EPA guidance on Recreational Water Use
All,Stage,Thresholds were created by consulting with locals familiar with the area for an average user. 
All,Swimming conditions,Thresholds were created by consulting with locals familiar with the area for an average user. 
All,Boating Conditions,Thresholds were created by consulting with locals familiar with the area for an average user. 
